Shape,Model,Resolution,MegaPixel,FrameRate,PTZ,Infrared,Varifocal,SD Card Storage,Wifi,Onvif,Audio,PoE,UPnP,JPEG URL,H264 URL,MJPEG URL,user Manual,Data sheet,Page Reference,,,,,,,,,,,Manufacturer
Box,SNB-6010,1920 x 1080,2,30,NO,NO,NO,YES,No                   ,YES,NO,,YES,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view&Profile=1&CodecType=MJPEG&Resolution=800x450&FrameRate=15&CompressionLevel=10,?,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNB-6010_AE.zip,https://www.samsung-security.com/products/security-cameras/network-cameras/Network-Box-Cameras/SNB-6010.aspx,,,,,,,,,,,Samsung
Box,SNB-7002,2048 x 1536,3.1,30,NO,NO,NO,Yes,No                   ,YES,Bi-directional,,YES,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view&Profile=1&CodecType=MJPEG&Resolution=800x450&FrameRate=15&CompressionLevel=11,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNB-7002_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNB-7002_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/Network-Box-Cameras/SNB-7002.aspx,,,,,,,,,,,Samsung
Box,SNB-7001,2048 X 1536,3,30,NO,NO,NO,Yes,No                   ,YES,NO,,NO,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view&Profile=1&CodecType=MJPEG&Resolution=800x450&FrameRate=15&CompressionLevel=12,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNB-7001_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNB-7001_Datasheet.pdf,https://www.samsung-security.com/en/products/security-cameras/network-cameras/Network-Box-Cameras/SNB-7001.aspx,,,,,,,,,,,Samsung
Box,SNB-6004,1920x1080,2,60,NO,NO,NO,Yes,No                   ,YES,Bi-directional,,YES,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view&Profile=1&CodecType=MJPEG&Resolution=800x450&FrameRate=15&CompressionLevel=13, https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNB-6004_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNB-6004_Datasheet.pdf,https://www.samsung-security.com/en/products/security-cameras/network-cameras/Network-Box-Cameras/SNB-6004.aspx,,,,,,,,,,,Samsung
Box,SNB-6003,1920x1081,2,60,NO,NO,NO,Yes,No                   ,YES,Bi-directional,,YES,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view&Profile=1&CodecType=MJPEG&Resolution=800x450&FrameRate=15&CompressionLevel=14,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNB-6003_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNB-6003_Datasheet.pdf,https://www.samsung-security.com/en/products/security-cameras/network-cameras/Network-Box-Cameras/SNB-6003.aspx,,,,,,,,,,,Samsung
Box,SNB-5004,1280 x 1024,1.3,60,NO,NO,NO,YES,No,YES,Bi-directional,YES,YES,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view&Profile=1&CodecType=MJPEG&Resolution=800x450&FrameRate=15&CompressionLevel=15,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNB-5004_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNB-5004_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/Network-Box-Cameras/SNB-5004.aspx,,,,,,,,,,,Samsung
Box,SNB-5000,1280 x 1024,1.3,,NO,NO,NO,YES,NO,YES,Bi-directional,YES,NO,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view&Profile=1&CodecType=MJPEG&Resolution=800x450&FrameRate=15&CompressionLevel=16,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNB-5000_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNB-5000-Specifications.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/Network-Box-Cameras/SNB-5000.aspx,,,,,,,,,,,Samsung
Box,SNB-5001,1280 x 1024,1.3,,NO,NO,NO,NO,NO,YES,NO,YES,NO,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view&Profile=1&CodecType=MJPEG&Resolution=800x450&FrameRate=15&CompressionLevel=17,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNB-5001_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNB-5001-Specifications.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/Network-Box-Cameras/SNB-5001.aspx,,,,,,,,,,,Samsung
Box,SNB-3002,4CIF,,30,NO,NO,NO,YES,NO,YES,Bi-directional,YES,NO,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view&Profile=1&CodecType=MJPEG&Resolution=800x450&FrameRate=15&CompressionLevel=18,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNB-3002_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNB-3002_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/Network-Box-Cameras/SNB-3002.aspx,,,,,,,,,,,Samsung
Box,SNB-3000,4CIF,,30,NO,NO,NO,YES,NO,YES,Bi-directional,YES,NO,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view&Profile=1&CodecType=MJPEG&Resolution=800x450&FrameRate=15&CompressionLevel=19,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNB-3000_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNB-3000-Datasheet-Brochure.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/Network-Box-Cameras/SNB-3000.aspx,,,,,,,,,,,Samsung
Box,SNB-1001,40x480,,30,NO,NO,NO,YES,NO,YES,Bi-Directional,YES,NO,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view&Profile=1&CodecType=MJPEG&Resolution=800x450&FrameRate=15&CompressionLevel=20,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNB-1001_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNB-1001_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/Network-Box-Cameras/SNB-1001.aspx,,,,,,,,,,,Samsung
Box,SNB-2000,4CIF,,30,NO,NO,NO,NO,NO,?,N0,YES,NO,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view&Profile=1&CodecType=MJPEG&Resolution=800x450&FrameRate=15&CompressionLevel=21,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNB-2000_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNB-2000_Datasheet-Brochure.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/Network-Box-Cameras/SNB-2000.aspx,,,,,,,,,,,Samsung
Box,SNZ-5200,1280 x 1024,1.3,,NO,NO,NO,YES,NO,YES,Bi-Directional,YES,NO,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view&Profile=1&CodecType=MJPEG&Resolution=800x450&FrameRate=15&CompressionLevel=22,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNZ-5200_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNZ-5200_Datasheet.pdf,https://www.samsung-security.com/products/security-cameras/network-cameras/Network-Box-Cameras/SNZ-5200.aspx,,,,,,,,,,,Samsung
Bullet,SNO-7084R,2048 x 1536,3,60,NO,NO,yes,YES,NO,YES,Bi-Directional,YES,NO,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view&Profile=1&CodecType=MJPEG&Resolution=800x450&FrameRate=15&CompressionLevel=23,,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNO-7084R_Datasheet.pdf,https://www.samsung-security.com/en/products/security-cameras/network-cameras/bullet-camera/SNO-7084R.aspx,,,,,,,,,,,Samsung
Bullet,SNO-7082R,2048 x 1536,3,30,NO,NO,yes,YES,NO,YES,Bi-Directional,YES,YES,stw-cgi/video.cgi?msubmenu=snapshot&action=view,H.264/media.smp,stw-cgi/video.cgi?msubmenu=stream&action=view&Profile=1&CodecType=MJPEG&Resolution=800x450&FrameRate=15&CompressionLevel=24,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNO-7082R_UserManual.pdf,https://www.samsung-security.com/SAMSUNG/upload/Product_Specifications/SNO-7082R_Datasheet.pdf,https://www.samsung-security.com/en/products/security-cameras/network-cameras/bullet-camera/SNO-7082R.aspx,,,,,,,,,,,Samsung
